longitude,latitude,
79.08103,21.15235,
79.08099,21.15216,
79.08096,21.15188,
79.08097,21.15168,
79.08096,21.15095,
79.08097,21.15067,
79.08095,21.15001,
79.08085,21.14962,
79.08068,21.14863,
79.08068,21.14857,
79.08067,21.14851,
79.08067,21.14846,
79.08068,21.1484,
79.08068,21.14834,
79.08069,21.1483,
79.08073,21.14818,
79.08086,21.14789,
79.08108,21.14746,
79.08115,21.14736,
79.08123,21.14719,
79.08128,21.1471,
79.08134,21.14703,
79.0814,21.14689,
79.0814,21.14669,
79.08139,21.14665,
79.08138,21.14647,
79.08136,21.14635,
79.08135,21.14625,
79.08133,21.14616,
79.08132,21.14606,
79.0813,21.14597,
79.08104,21.14448,
79.08103,21.14436,
79.08085,21.14318,
79.08042,21.14148,
79.08029,21.14105,
79.07989,21.13984,
79.07953,21.13883,
79.07926,21.13799,
79.07918,21.13777,
79.07907,21.13742,
79.07755,21.13298,
79.07712,21.13162,
79.07698,21.13133,
79.07693,21.13113,
79.07684,21.13083,
79.07663,21.13022,
79.07613,21.12866,
79.07611,21.12858,
79.07607,21.12848,
79.07557,21.12701,
79.075,21.12543,
79.07498,21.12536,
79.07493,21.12525,
79.07491,21.12518,
79.07387,21.12254,
79.07385,21.12246,
79.07308,21.12056,
79.07298,21.12034,
79.07295,21.12025,
79.07265,21.11953,
79.07257,21.11929,
79.07255,21.11925,
79.07252,21.11914,
79.07215,21.118,
79.0721,21.1178,
79.07204,21.11743,
79.07203,21.11732,
79.07196,21.11722,
79.07195,21.11718,
79.07192,21.1171,
79.07172,21.11641,
79.07168,21.11623,
79.06942,21.10798,
79.0691,21.10692,
79.06835,21.10419,
79.06816,21.1034,
79.06797,21.1027,
79.06797,21.10267,
79.06793,21.10253,
79.06789,21.10233,
79.06781,21.10203,
79.06763,21.10124,
79.06759,21.10111,
79.06576,21.09375,
79.06568,21.09346,
79.06566,21.09336,
79.06561,21.09319,
79.06533,21.09203,
79.06528,21.09178,
79.06463,21.08908,
79.06463,21.08905,
79.06464,21.08895,
79.06462,21.0889,
79.06421,21.08747,
79.06373,21.08554,
79.06371,21.08548,
79.06336,21.08413,
79.06322,21.08367,
79.06317,21.08355,
79.06312,21.08341,
79.06288,21.08291,
79.06273,21.08263,
79.06153,21.08013,
79.06121,21.07943,
79.06069,21.07835,
79.06034,21.0774,
79.06023,21.07699,
79.06022,21.07688,
79.0602,21.07677,
79.0602,21.07668,
79.06021,21.0766,
79.06021,21.07648,
79.06023,21.07637,
79.06043,21.07572,
79.06049,21.07555,
79.06069,21.07491,
79.0607,21.07484,
79.06074,21.07467,
79.06076,21.07451,
79.06076,21.07419,
79.06073,21.07393,
79.06059,21.07338,
79.0605,21.07313,
79.06026,21.07257,
79.06002,21.07196,
79.05965,21.07086,
79.05954,21.0705,
79.05949,21.0703,
79.05929,21.06964,
79.059,21.06887,
79.05807,21.06602,
79.05765,21.06465,
79.05705,21.06295,
79.05656,21.06165,
79.05561,21.05932,
79.05557,21.05924,
79.05515,21.0582,
79.05448,21.05642,
79.05389,21.05458,
79.0535,21.05316,
79.0534,21.05274,
79.05311,21.05127,
79.05279,21.04935,
79.05263,21.04815,
79.05261,21.0479,
79.05259,21.04778,
79.05244,21.04589,
79.05236,21.04449,
79.05234,21.04381,
79.05224,21.04183,
79.0521,21.0401,
79.05209,21.03966,
79.052,21.03806,
79.05196,21.03699,
79.05167,21.03316,
79.05166,21.03292,
79.05146,21.03027,
79.05133,21.02918,
79.05128,21.02864,
79.05121,21.02819,
79.05121,21.02818,
79.051,21.02711,
79.05086,21.02659,
79.05071,21.02597,
79.05057,21.02554,
79.05032,21.02484,
79.04971,21.02295,
79.0497,21.02293,
79.0495,21.02233,
79.04936,21.02159,
79.04935,21.02143,
79.04936,21.02138,
79.04941,21.02124,
